section,Preparation,,,,
Loma Linda University School of Dentistry,Economics,,,,
Loma Linda University School of Dentistry,Ethics,,,,
Loma Linda University School of Dentistry,Foreign languages,,,,
Loma Linda University School of Dentistry,Humanities,,,,
Loma Linda University School of Dentistry,Sociology,,,,
Loma Linda University School of Dentistry,#5#Behavioral Science,,,,
Loma Linda University School of Dentistry,Psychology,,,,
Loma Linda University School of Dentistry,#5#English,,,,
Loma Linda University School of Dentistry,Basic composition,,,,
Loma Linda University School of Dentistry,Composition,x,,,6/12
Loma Linda University School of Dentistry,Creative writing,,,,
Loma Linda University School of Dentistry,English,,,,
Loma Linda University School of Dentistry,Literature,,,,
Loma Linda University School of Dentistry,Technical writing,,,,
Loma Linda University School of Dentistry,#5#Other science,,,,
Loma Linda University School of Dentistry,Algebra,,,,
Loma Linda University School of Dentistry,Biostatistics,,,,
Loma Linda University School of Dentistry,Calculus,,,,
Loma Linda University School of Dentistry,Computer science,,,,
Loma Linda University School of Dentistry,Genetics,,,,
Loma Linda University School of Dentistry,Mathematics,,,,
Loma Linda University School of Dentistry,Statistics,,,,
Loma Linda University School of Dentistry,Trigonometry,,,,
Loma Linda University School of Dentistry,#5#Notes: ,,,,
"University of California, Los Angeles, School of Dentistry",#5#BCP (biology – chemistry – physics),,,,
"University of California, Los Angeles, School of Dentistry",Biology,x,,,8/12
"University of California, Los Angeles, School of Dentistry","Chemistry, general/inorganic",x,,,8/12
"University of California, Los Angeles, School of Dentistry","Chemistry, organic",x,,,6/8
"University of California, Los Angeles, School of Dentistry",Physics,x,,,8/12
"University of California, Los Angeles, School of Dentistry",#5#Additional biological sciences ,,,,
"University of California, Los Angeles, School of Dentistry",Anatomy,,x,,3/4
"University of California, Los Angeles, School of Dentistry",Biochemistry,x,,,3/4
"University of California, Los Angeles, School of Dentistry",Cell biology,,,,
"University of California, Los Angeles, School of Dentistry",Histology,,x,,3/4
"University of California, Los Angeles, School of Dentistry",Immunology,,,,
"University of California, Los Angeles, School of Dentistry",Microbiology,,x,,3/4
"University of California, Los Angeles, School of Dentistry",Molecular biology/genetics,,,,
"University of California, Los Angeles, School of Dentistry",Physiology,,x,,3/4
"University of California, Los Angeles, School of Dentistry",Zoology,,,,
"University of California, Los Angeles, School of Dentistry",#5#Nonscience,,,,
"University of California, Los Angeles, School of Dentistry",Art,,,,
"University of California, Los Angeles, School of Dentistry",Business,,,,
"University of California, Los Angeles, School of Dentistry",Communications,,,,
"University of California, Los Angeles, School of Dentistry",Economics,,,,
"University of California, Los Angeles, School of Dentistry",Ethics,,,,
"University of California, Los Angeles, School of Dentistry",Foreign languages,,,,
"University of California, Los Angeles, School of Dentistry",Humanities,,,,
"University of California, Los Angeles, School of Dentistry",Sociology,,,,
